times,actRea,egoAcc,actVel,actAcc,disInit,DTC,PET,isCollision
1,0,2.9,34,0,88,37.5055251095774,4500,Success
1,0,2.9,34,0,89,38.498442808156,4600,Success
1,0,2.9,34,0,90,39.4916715927435,4700,Success
1,0,2.9,34,0,91,40.4851914712187,4820,Success
1,0,2.9,34,0,92,41.4789841234562,4920,Success
1,0,2.9,34,0,93,42.4730327306238,5020,Success
1,0,2.9,34,0,94,43.4673218249155,5120,Success
1,0,2.9,34,0,95,44.4618371569292,5240,Success
1,0,2.9,34,0,96,45.4565655783262,5340,Success
1,0,2.9,34,0,97,46.4514949377599,5440,Success
1,0,2.9,34,0,98,47.4466139883622,5560,Success
1,0,2.9,34,0,99,48.4419123053192,5660,Success
1,0,2.9,34,0,100,49.4373802122786,5760,Success
1,0,2.9,34,0,101,50.4330087155072,5860,Success
1,0,2.9,34,0,102,51.4287894448644,5980,Success
1,0,2.9,34,0,103,52.4247146007834,6080,Success
1,0,2.9,34,0,104,53.4207769065617,6180,Success
1,0,2.9,35,0,82,30.2525641923405,3620,Success
1,0,2.9,35,0,83,31.2423821814182,3720,Success
1,0,2.9,35,0,84,32.2327317642405,3820,Success
1,0,2.9,35,0,85,33.2235725508887,3920,Success
1,0,2.9,35,0,86,34.2148681248896,4020,Success
1,0,2.9,35,0,87,35.2065855683087,4120,Success
1,0,2.9,35,0,88,36.1986950530981,4220,Success
1,0,2.9,35,0,89,37.1911694882005,4340,Success
1,0,2.9,35,0,90,38.1839842137654,4440,Success
1,0,2.9,35,0,91,39.1771167353242,4540,Success
1,0,2.9,35,0,92,40.1705464919831,4640,Success
1,0,2.9,35,0,93,41.1642546536766,4740,Success
1,0,2.9,35,0,94,42.1582239433312,4840,Success
1,0,2.9,35,0,95,43.152438480452,4940,Success
1,0,2.9,35,0,96,44.1468836431871,5060,Success
1,0,2.9,35,0,97,45.1415459463809,5160,Success
1,0,2.9,35,0,98,46.1364129334994,5260,Success
1,0,2.9,35,0,99,47.1314730806265,5360,Success
1,0,2.9,35,0,100,48.1267157109897,5460,Success
1,0,2.9,35,0,101,49.1221309186956,5560,Success
1,0,2.9,35,0,102,50.1177095005412,5660,Success
1,0,2.9,35,0,103,51.1134428949214,5780,Success
1,0,2.9,35,0,104,52.109323126989,5880,Success
1,0,2.9,36,0,82,28.9501910082852,3380,Success
1,0,2.9,36,0,83,29.9392397469567,3480,Success
1,0,2.9,36,0,84,30.9288802658584,3580,Success
1,0,2.9,36,0,85,31.9190660837359,3680,Success
1,0,2.9,36,0,86,32.9097554410822,3780,Success
1,0,2.9,36,0,87,33.9009107180229,3880,Success
1,0,2.9,36,0,88,34.8924979358837,3980,Success
1,0,2.9,36,0,89,35.8844863287935,4080,Success
1,0,2.9,36,0,90,36.8768479741469,4180,Success
1,0,2.9,36,0,91,37.8695574727408,4280,Success
1,0,2.9,36,0,92,38.8625916709904,4380,Success
1,0,2.9,36,0,93,39.8559294189297,4480,Success
1,0,2.9,36,0,94,40.8495513587457,4580,Success
1,0,2.9,36,0,95,41.8434397394613,4680,Success
1,0,2.9,36,0,96,42.8375782540791,4780,Success
1,0,2.9,36,0,97,43.8319518960849,4880,Success
1,0,2.9,36,0,98,44.8265468326822,4980,Success
1,0,2.9,36,0,99,45.8213502925343,5080,Success
1,0,2.9,36,0,100,46.8163504661155,5180,Success
1,0,2.9,36,0,101,47.8115364170555,5280,Success
1,0,2.9,36,0,102,48.8068980030897,5380,Success
1,0,2.9,36,0,103,49.8024258054251,5480,Success
1,0,2.9,36,0,104,50.7981110654987,5580,Success
1,0,2.9,37,0,82,27.6489343471561,3160,Success
1,0,2.9,37,0,83,28.6371238010775,3260,Success
1,0,2.9,37,0,84,29.6259746034651,3360,Success
1,0,2.9,37,0,85,30.6154329962656,3460,Success
1,0,2.9,37,0,86,31.6054508660082,3560,Success
1,0,2.9,37,0,87,32.5959850253495,3640,Success
1,0,2.9,37,0,88,33.586996601134,3740,Success
1,0,2.9,37,0,89,34.5784505110727,3840,Success
1,0,2.9,37,0,90,35.5703150144836,3940,Success
1,0,2.9,37,0,91,36.5625613251949,4040,Success
1,0,2.9,37,0,92,37.555163276842,4140,Success
1,0,2.9,37,0,93,38.5480970324966,4240,Success
1,0,2.9,37,0,94,39.5413408319474,4320,Success
1,0,2.9,37,0,95,40.5348747710789,4420,Success
1,0,2.9,37,0,96,41.5286806087022,4520,Success
1,0,2.9,37,0,97,42.5227415969482,4620,Success
1,0,2.9,37,0,98,43.5170423319448,4720,Success
1,0,2.9,37,0,99,44.511568622012,4820,Success
1,0,2.9,37,0,100,45.5063073710298,4920,Success
1,0,2.9,37,0,101,46.5012464749833,5000,Success
1,0,2.9,37,0,102,47.4963747299866,5100,Success
1,0,2.9,37,0,103,48.491681750328,5200,Success
1,0,2.9,37,0,104,49.4871578952899,5300,Success
1,0,2.9,38,0,82,26.3489294494932,2960,Success
1,0,2.9,38,0,83,27.3361550630123,3040,Success
1,0,2.9,38,0,84,28.3241228637681,3140,Success
1,0,2.9,38,0,85,29.312770345476,3240,Success
1,0,2.9,38,0,86,30.3020417928437,3340,Success
1,0,2.9,38,0,87,31.291887388304,3420,Success
1,0,2.9,38,0,88,32.2822624554471,3520,Success
1,0,2.9,38,0,89,33.2731268154677,3620,Success
1,0,2.9,38,0,90,34.2644442375002,3720,Success
1,0,2.9,38,0,91,35.2561819673075,3800,Success
1,0,2.9,38,0,92,36.2483103216483,3900,Success
1,0,2.9,38,0,93,37.2408023379293,4000,Success
