times,InitDistance,EgoInitSpeed,EgoTargetSpeed,EgoAcceleration,ActorInitSpeed,ActorReactionTime,ActorTargetSpeed,ActorAcceleration
1,125,0,10,2.9,46,1.3,40,0.5
1,125,0,10,2.9,46,0.7,40,1.5
1,125,0,10,2.9,46,1,40,1.5
1,125,0,10,2.9,46,1.3,40,1.5
1,125,0,10,2.9,46,0.7,40,2.5
1,125,0,10,2.9,46,1,40,2.5
1,125,0,10,2.9,46,1.3,40,2.5
1,82,0,10,2.9,47,0.7,40,0.5
1,82,0,10,2.9,47,1,40,0.5
1,82,0,10,2.9,47,1.3,40,0.5
1,82,0,10,2.9,47,0.7,40,1.5
1,82,0,10,2.9,47,1,40,1.5
1,82,0,10,2.9,47,1.3,40,1.5
1,82,0,10,2.9,47,0.7,40,2.5
1,82,0,10,2.9,47,1,40,2.5
1,82,0,10,2.9,47,1.3,40,2.5
1,83,0,10,2.9,47,0.7,40,0.5
1,83,0,10,2.9,47,1,40,0.5
1,83,0,10,2.9,47,1.3,40,0.5
1,83,0,10,2.9,47,0.7,40,1.5
1,83,0,10,2.9,47,1,40,1.5
1,83,0,10,2.9,47,1.3,40,1.5
1,83,0,10,2.9,47,0.7,40,2.5
1,83,0,10,2.9,47,1,40,2.5
1,83,0,10,2.9,47,1.3,40,2.5
1,84,0,10,2.9,47,0.7,40,0.5
1,84,0,10,2.9,47,1,40,0.5
1,84,0,10,2.9,47,1.3,40,0.5
1,84,0,10,2.9,47,0.7,40,1.5
1,84,0,10,2.9,47,1,40,1.5
1,84,0,10,2.9,47,1.3,40,1.5
1,84,0,10,2.9,47,0.7,40,2.5
1,84,0,10,2.9,47,1,40,2.5
1,84,0,10,2.9,47,1.3,40,2.5
1,85,0,10,2.9,47,0.7,40,0.5
1,85,0,10,2.9,47,1,40,0.5
1,85,0,10,2.9,47,1.3,40,0.5
1,85,0,10,2.9,47,0.7,40,1.5
1,85,0,10,2.9,47,1,40,1.5
1,85,0,10,2.9,47,1.3,40,1.5
1,85,0,10,2.9,47,0.7,40,2.5
1,85,0,10,2.9,47,1,40,2.5
1,85,0,10,2.9,47,1.3,40,2.5
1,86,0,10,2.9,47,0.7,40,0.5
1,86,0,10,2.9,47,1,40,0.5
1,86,0,10,2.9,47,1.3,40,0.5
1,86,0,10,2.9,47,0.7,40,1.5
1,86,0,10,2.9,47,1,40,1.5
1,86,0,10,2.9,47,1.3,40,1.5
